X	fragments	sample
46x52	19055	Bladder111
17x40	48408	Bladder111
35x64	10904	Bladder111
26x49	18086	Bladder111
70x46	46163	Bladder111
47x18	47703	Bladder111
26x65	12794	Bladder111
54x26	45858	Bladder111
61x20	43441	Bladder111
65x36	19912	Bladder111
47x67	37230	Bladder111
72x63	20108	Bladder111
29x30	49199	Bladder111
15x50	21025	Bladder111
38x32	64452	Bladder111
21x24	31167	Bladder111
50x50	35550	Bladder111
59x64	13464	Bladder111
17x51	12792	Bladder111
70x66	36441	Bladder111
28x24	24740	Bladder111
48x38	35360	Bladder111
52x54	26615	Bladder111
5x50	50233	Bladder111
60x64	15179	Bladder111
58x34	44115	Bladder111
8x23	39876	Bladder111
14x37	23647	Bladder111
35x32	21057	Bladder111
53x20	42152	Bladder111
58x15	60658	Bladder111
55x68	35928	Bladder111
28x2	21094	Bladder111
4x68	37591	Bladder111
28x43	39376	Bladder111
2x48	56775	Bladder111
3x13	44165	Bladder111
36x64	11636	Bladder111
14x71	21196	Bladder111
36x19	25895	Bladder111
68x54	31652	Bladder111
16x68	27825	Bladder111
51x55	23863	Bladder111
1x57	49901	Bladder111
68x21	118379	Bladder111
34x38	27096	Bladder111
4x2	40685	Bladder111
13x18	39761	Bladder111
49x3	32229	Bladder111
19x46	48094	Bladder111
21x57	13833	Bladder111
70x36	48212	Bladder111
36x26	35347	Bladder111
47x31	56431	Bladder111
32x19	26642	Bladder111
60x59	22854	Bladder111
70x6	40728	Bladder111
48x59	15783	Bladder111
31x65	9833	Bladder111
47x38	29525	Bladder111
18x5	3091	Bladder111
21x7	20501	Bladder111
54x20	27442	Bladder111
27x36	19970	Bladder111
15x66	13077	Bladder111
58x10	48594	Bladder111
72x52	40212	Bladder111
59x12	38130	Bladder111
59x34	32358	Bladder111
4x5	70341	Bladder111
57x38	25169	Bladder111
11x43	35620	Bladder111
20x8	24653	Bladder111
1x10	77147	Bladder111
44x13	55341	Bladder111
42x22	51851	Bladder111
46x20	50311	Bladder111
18x64	2534	Bladder111
47x66	26300	Bladder111
68x19	96588	Bladder111
38x3	80432	Bladder111
33x57	10024	Bladder111
2x36	40618	Bladder111
58x56	28014	Bladder111
20x51	14084	Bladder111
63x28	29271	Bladder111
37x21	90883	Bladder111
53x37	33105	Bladder111
26x6	12827	Bladder111
56x62	10265	Bladder111
34x58	19876	Bladder111
72x37	59899	Bladder111
59x17	36941	Bladder111
51x30	33632	Bladder111
46x57	16040	Bladder111
34x33	26042	Bladder111
27x50	26750	Bladder111
27x4	13180	Bladder111
9x56	19397	Bladder111
27x70	15615	Bladder111
53x26	53633	Bladder111
25x47	33256	Bladder111
36x70	14014	Bladder111
66x48	52197	Bladder111
42x20	57974	Bladder111
61x24	29161	Bladder111
29x17	31279	Bladder111
56x39	29844	Bladder111
